Date,Open,High,Low,Close,Adj Close,Volume
11/13/2014,30650.00,30650.00,30300.00,30650.00,27570.74,671100.00
11/14/2014,30450.00,30825.00,30300.00,30450.00,27390.83,1145300.00
11/17/2014,30450.00,31375.00,30400.00,31050.00,27930.55,1733400.00
11/18/2014,31600.00,31625.00,31050.00,31600.00,28425.29,1336200.00
11/19/2014,31100.00,31775.00,31025.00,31100.00,27975.53,1175300.00
11/20/2014,31400.00,31400.00,30800.00,31400.00,28245.39,1388800.00
11/21/2014,31450.00,31450.00,31025.00,31450.00,28290.36,844100.00
11/24/2014,31500.00,31500.00,31100.00,31500.00,28335.34,1059100.00
11/25/2014,31700.00,31700.00,31125.00,31700.00,28515.25,2334700.00
11/26/2014,31600.00,31700.00,31125.00,31600.00,28425.29,1037100.00
11/27/2014,32000.00,32000.00,31300.00,32000.00,28785.11,1547300.00
11/28/2014,31800.00,32000.00,31650.00,31800.00,28605.20,613500.00
12/1/2014,31800.00,31800.00,31300.00,31375.00,28222.90,1833700.00
12/2/2014,31300.00,31800.00,31200.00,31275.00,28132.95,4990500.00
12/3/2014,31200.00,31400.00,31025.00,31275.00,28438.47,1008400.00
12/4/2014,31300.00,32100.00,31275.00,31575.00,28711.26,2245500.00
12/5/2014,31400.00,31900.00,31400.00,31675.00,28802.19,533900.00
12/8/2014,31700.00,31700.00,31050.00,31150.00,28324.81,1240100.00
12/9/2014,31000.00,31175.00,30975.00,31025.00,28211.15,1608000.00
12/10/2014,31025.00,31125.00,31000.00,31100.00,28279.34,872800.00
12/11/2014,31075.00,31075.00,30900.00,30900.00,28097.48,2589800.00
12/12/2014,30900.00,31050.00,30900.00,30975.00,28165.68,1010400.00
12/15/2014,30550.00,31250.00,30525.00,31225.00,28393.00,1179500.00
12/16/2014,31025.00,31275.00,30600.00,31200.00,28370.28,1830800.00
12/17/2014,31275.00,31500.00,30700.00,30700.00,27915.62,1527100.00
12/18/2014,31100.00,31700.00,30925.00,31700.00,28824.93,1223000.00
12/19/2014,31750.00,32000.00,31525.00,32000.00,29097.72,1977500.00
12/22/2014,32000.00,32000.00,31500.00,31500.00,28643.07,708700.00
12/23/2014,31725.00,31800.00,31500.00,31500.00,28643.07,669900.00
12/24/2014,31550.00,31925.00,31500.00,31525.00,28665.80,351600.00
12/29/2014,31900.00,31950.00,31650.00,31950.00,29052.25,593600.00
12/30/2014,31725.00,32300.00,31700.00,32300.00,29370.51,1810900.00
1/2/2015,32300.00,32625.00,32275.00,32525.00,29575.10,766900.00
1/5/2015,32475.00,32525.00,32275.00,32475.00,29529.64,1761400.00
1/6/2015,32300.00,32500.00,32150.00,32475.00,29529.64,1400700.00
1/7/2015,32500.00,33700.00,32500.00,33125.00,30120.69,2901400.00
1/8/2015,33100.00,33450.00,33100.00,33375.00,30348.01,2654900.00
1/9/2015,33100.00,33450.00,32975.00,33225.00,30211.61,2078000.00
1/12/2015,32875.00,32900.00,32100.00,32100.00,29188.64,1226100.00
1/13/2015,32600.00,33100.00,32475.00,33000.00,30007.02,1194100.00
1/14/2015,33225.00,33250.00,32650.00,32650.00,29688.76,978200.00
1/15/2015,32725.00,33000.00,32650.00,32725.00,29756.96,326000.00
1/16/2015,32975.00,34000.00,32650.00,33500.00,30461.67,971400.00
1/19/2015,33500.00,34000.00,33400.00,34000.00,30916.33,1055100.00
1/20/2015,33675.00,34200.00,33675.00,34200.00,31098.19,2530300.00
1/21/2015,34200.00,35950.00,34200.00,35950.00,32689.47,2889000.00
1/22/2015,35000.00,36000.00,35000.00,35800.00,32553.07,1303100.00
1/23/2015,36050.00,36275.00,35800.00,36200.00,32916.79,2329700.00
1/26/2015,36100.00,36100.00,34125.00,35500.00,32280.28,3573700.00
1/27/2015,35500.00,35625.00,34825.00,35525.00,32303.01,1178900.00
1/28/2015,35500.00,35700.00,35225.00,35500.00,32280.28,1039500.00
1/29/2015,35600.00,35650.00,35125.00,35375.00,32166.62,1043700.00
1/30/2015,35600.00,35900.00,35500.00,35825.00,32575.80,1966400.00
2/2/2015,36000.00,36675.00,35750.00,36175.00,32894.06,1498300.00
2/3/2015,36100.00,36500.00,36100.00,36375.00,33075.92,590500.00
2/4/2015,36350.00,36500.00,36325.00,36400.00,33098.66,1645900.00
2/5/2015,36000.00,36000.00,34850.00,35250.00,32052.96,2931600.00
2/6/2015,35000.00,37000.00,35000.00,36650.00,33325.98,2361200.00
2/9/2015,36900.00,36900.00,36000.00,36125.00,32848.60,722300.00
2/10/2015,36125.00,36675.00,35500.00,35500.00,32280.28,1790900.00
2/11/2015,36000.00,36000.00,35575.00,35675.00,32439.40,1270300.00
2/12/2015,35675.00,35675.00,35200.00,35675.00,32439.40,993100.00
2/13/2015,35800.00,36400.00,35400.00,36325.00,33030.46,1109600.00
2/16/2015,36425.00,36425.00,35100.00,35100.00,31916.55,1152800.00
2/17/2015,35600.00,35900.00,35350.00,35900.00,32644.00,807500.00
2/18/2015,35900.00,36000.00,35500.00,35500.00,32280.28,1038900.00
2/20/2015,35500.00,35800.00,35300.00,35325.00,32121.15,1313500.00
2/23/2015,35400.00,36100.00,35400.00,36050.00,32780.39,1280400.00
2/24/2015,36000.00,36050.00,35700.00,36025.00,32757.66,1133800.00
2/25/2015,36100.00,36350.00,36025.00,36350.00,33053.19,1320000.00
2/26/2015,36150.00,36650.00,35725.00,36500.00,33189.58,1747300.00
2/27/2015,36125.00,36425.00,36000.00,36000.00,32734.93,1994200.00
3/2/2015,36000.00,36500.00,35750.00,36400.00,33098.66,1203700.00
3/3/2015,36250.00,36650.00,36075.00,36075.00,32803.13,1846000.00
3/4/2015,36200.00,36350.00,36050.00,36100.00,32825.86,626000.00
3/5/2015,36250.00,36725.00,36100.00,36250.00,32962.25,1142200.00
3/6/2015,36500.00,37800.00,36350.00,37800.00,34371.68,2487000.00
3/9/2015,37500.00,37500.00,37050.00,37500.00,34098.89,2183300.00
3/10/2015,37300.00,37800.00,36525.00,37800.00,34371.68,2241600.00
3/11/2015,37500.00,38750.00,37100.00,38750.00,35235.52,3453400.00
3/12/2015,38750.00,39825.00,38500.00,39825.00,36213.02,2360800.00
